"DateTimePST","DateTimeUTC","Stage","WT","YI","VB","WTmn","WTmx","WTvr","TW","LSU","TS_slot","TS_smp_code","TS_thr_code","IBatt","ISolar","Stg_Qual","TBatt","VLoad","VSolar","file_name"
2020-04-01 19:00:00,2020-04-02 03:00:00,0.21,2,-0.6,12.6,1,18,5.5,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 19:15:00,2020-04-02 03:15:00,0.2,2,-0.8,12.6,1,40,29.7,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 19:30:00,2020-04-02 03:30:00,0.21,2,-1,12.6,1,13,3.8,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 19:45:00,2020-04-02 03:45:00,0.21,2,-1,12.6,1,10,1.9,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 20:00:00,2020-04-02 04:00:00,0.21,2,-1.2,12.6,1,9,2.5,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 20:15:00,2020-04-02 04:15:00,0.21,2,-1.2,12.6,1,37,14.7,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 20:30:00,2020-04-02 04:30:00,0.21,2,-1.2,12.6,1,16,4.2,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 20:45:00,2020-04-02 04:45:00,0.21,2,-1.3,12.6,1,23,10.5,0.6,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 21:00:00,2020-04-02 05:00:00,0.21,2,-1.3,12.6,1,8,1.3,0.6,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 21:15:00,2020-04-02 05:15:00,0.2,2,-1.3,12.6,1,19,4.3,0.6,5,0,0,0,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 21:30:00,2020-04-02 05:30:00,0.2,2,-1.5,12.6,1,24,8.5,0.6,5,0,0,0,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 21:45:00,2020-04-02 05:45:00,0.21,2,-1.5,12.6,1,19,5.9,0.6,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 22:00:00,2020-04-02 06:00:00,0.2,2,-1.7,12.6,1,15,5.1,0.5,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 22:15:00,2020-04-02 06:15:00,0.2,2,-1.9,12.6,1,14,3.6,0.5,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 22:30:00,2020-04-02 06:30:00,0.21,3,-1.9,12.6,1,32,21.7,0.5,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 22:45:00,2020-04-02 06:45:00,0.21,2,-2,12.6,1,15,3,0.5,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
